frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 16, 2016 23:53:30.543638000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:30.791413000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:30.791680000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:30.792158000 +07,10.12.16.101,190.105.238.43,49158,80,GET,www.servipisos.com.ar,
Dec 16, 2016 23:53:30.792205000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.045027000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.045270000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.045605000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.045698000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.045924000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.046022000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.293887000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.293903000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.294094000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.294265000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.294275000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.294401000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.294519000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.294714000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.537314000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.537528000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.537538000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.537692000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.537942000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.537948000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.537982000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.537988000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.538108000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.538141000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.538200000 +07,10.12.16.101,190.105.238.43,49158,80,,,
Dec 16, 2016 23:53:31.783079000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.783311000 +07,190.105.238.43,10.12.16.101,80,49158,,,
Dec 16, 2016 23:53:31.783319000 +07,190.105.238.43,10.12.16.101,80,49158,,,
