frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Aug  2, 2019 13:30:03.899191000 +07,,,,,,,
Aug  2, 2019 13:30:04.226285000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:04.226432000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.226476000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.226572000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.226605000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.643135000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.643175000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.643208000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.643229000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:04.986519000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:05.782144000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:06.093235000 +07,,,,,,,
Aug  2, 2019 13:30:07.098950000 +07,,,,,,,
Aug  2, 2019 13:30:07.543378000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:07.543524000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.543567000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.543662000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.543695000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.981557000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.981600000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.981634000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:07.981656000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:08.123050000 +07,,,,,,,
Aug  2, 2019 13:30:08.302713000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:09.060856000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:10.826065000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:10.826223000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:10.826267000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:10.826360000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:10.826393000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:11.098365000 +07,,,,,,,
Aug  2, 2019 13:30:11.250378000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:11.250420000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:11.250454000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:11.250475000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:11.586622000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:12.122962000 +07,,,,,,,
Aug  2, 2019 13:30:12.341798000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:13.147052000 +07,,,,,,,
Aug  2, 2019 13:30:14.124741000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:14.124888000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.124941000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.125042000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.125081000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.543834000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.543876000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.543908000 +07,,,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.543930000 +07,10.10.10.12,224.0.0.252,,,,,win-25qpfk98rg9
Aug  2, 2019 13:30:14.879051000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:15.639262000 +07,10.10.10.12,10.10.10.255,,,,,
Aug  2, 2019 13:30:15.654471000 +07,,,,,,,
