frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Apr 28, 2017 02:03:10.829544000 +07,,,,,,,
Apr 28, 2017 02:03:13.729582000 +07,,,,,,,
Apr 28, 2017 02:03:13.729604000 +07,,,,,,,
Apr 28, 2017 02:03:14.579406000 +07,,,,,,,
Apr 28, 2017 02:03:14.579875000 +07,,,,,,,
Apr 28, 2017 02:03:20.919012000 +07,172.16.0.130,185.141.27.187,49344,80,,,
Apr 28, 2017 02:03:20.919535000 +07,185.141.27.187,172.16.0.130,80,49344,,,
Apr 28, 2017 02:03:20.919608000 +07,172.16.0.130,185.141.27.187,49344,80,,,
Apr 28, 2017 02:03:20.920755000 +07,185.141.27.187,172.16.0.130,80,49344,,,
Apr 28, 2017 02:03:20.920810000 +07,185.141.27.187,172.16.0.130,80,49344,,,
Apr 28, 2017 02:03:20.920821000 +07,172.16.0.130,185.141.27.187,49344,80,,,
Apr 28, 2017 02:03:20.921648000 +07,172.16.0.130,185.141.27.187,49344,80,,,
Apr 28, 2017 02:03:20.921715000 +07,172.16.0.130,185.141.27.187,49344,80,POST,185.141.27.187,
Apr 28, 2017 02:03:20.921806000 +07,172.16.0.130,185.141.27.187,49344,80,,,
Apr 28, 2017 02:03:20.922190000 +07,185.141.27.187,172.16.0.130,80,49344,,,
Apr 28, 2017 02:03:20.922236000 +07,185.141.27.187,172.16.0.130,80,49344,,,
Apr 28, 2017 02:03:20.922392000 +07,185.141.27.187,172.16.0.130,80,49344,,,
Apr 28, 2017 02:03:21.074183000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:21.074426000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:21.579545000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:21.580227000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.094516000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:22.094933000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.094978000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:22.097025000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:22.097459000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.097480000 +07,172.16.0.130,185.141.27.187,49345,80,POST,185.141.27.187,
Apr 28, 2017 02:03:22.098260000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.101864000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.101864000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.101893000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:22.101986000 +07,172.16.0.130,185.141.27.187,49345,80,,,
Apr 28, 2017 02:03:22.104588000 +07,185.141.27.187,172.16.0.130,80,49345,,,
Apr 28, 2017 02:03:22.140744000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:22.141059000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:22.641311000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:22.641747000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:23.142252000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:23.142700000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:23.142766000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:23.145608000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:23.147745000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:23.147766000 +07,172.16.0.130,185.141.27.187,49346,80,POST,185.141.27.187,
Apr 28, 2017 02:03:23.149456000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:23.150064000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:23.150065000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:23.150087000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:23.150216000 +07,172.16.0.130,185.141.27.187,49346,80,,,
Apr 28, 2017 02:03:23.150484000 +07,185.141.27.187,172.16.0.130,80,49346,,,
Apr 28, 2017 02:03:24.555776000 +07,192.168.37.1,224.0.0.251,,,,,_googlecast._tcp.local
