frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Feb  1, 2017 22:38:40.104177000 +07,10.2.1.101,10.2.2.1,,,,,www.timeconsulting.co.th
Feb  1, 2017 22:38:40.186839000 +07,10.2.2.1,10.2.1.101,,,,,www.timeconsulting.co.th
Feb  1, 2017 22:38:40.188215000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.497002000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.497283000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.497502000 +07,10.2.1.101,27.254.109.103,49309,80,GET,www.timeconsulting.co.th,
Feb  1, 2017 22:38:40.807177000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.812393000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.812613000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.812727000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.812762000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.812868000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.812958000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.812959000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.812974000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813097000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.813126000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.813208000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813217000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813232000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.813343000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.813457000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813460000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:40.813466000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813473000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813707000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.813718000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:40.817608000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.123783000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.123938000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.124065000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.124163000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.124179000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.124200000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.124359000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.124609000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.128864000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.129099000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.129229000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.129229000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.129374000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.129425000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.129674000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.129686000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.132862000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.133080000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.133218000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.133226000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.133371000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.133421000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.133431000 +07,10.2.1.101,27.254.109.103,49309,80,,,
Feb  1, 2017 22:38:41.133450000 +07,27.254.109.103,10.2.1.101,80,49309,,,
Feb  1, 2017 22:38:41.133553000 +07,27.254.109.103,10.2.1.101,80,49309,,,
